code_name,ui_message
choose_language,Choose a language
ENG,English
PL,Polish
choose_action,Choose an action
main_menu_buy_a_ticket,Buy a ticket
main_menu_check_status,Check your ticket's status
main_menu_recharge_ticket,Recharge/Extend your ticket
buy_short_term_ticket,Buy short term ticket
buy_long_term_ticket,Buy long term ticket
assign_to_prepaid,Use your prepaid ticket
check_status,Check ticket status
check_balance,Check prepaid ticket balance
recharge_time_ticket,Recharge/Extend your long term ticket
recharge_prepaid_ticket,Recharge your prepaid ticket
ticket_type,Ticket type
ticket_price,Price (PLN)
ticket_value,Value (PLN)
20_min_reduced,Reduced-fare 20 minute ticket
20_min_standard,Standard 20 minute ticket
75_min_reduced,Reduced-fare 75 minute ticket
75_min_standard,Standard 75 minute ticket
90_min_reduced,Reduced-fare 90 minute ticket
90_min_standard,Standard 90 minute ticket
