code_name,ui_message
choose_language,Choose a language
ENG,English
PL,Polish
choose_action,Choose an action
main_menu_buy_a_ticket,Buy a ticket
main_menu_check_status,Check your ticket's status
main_menu_recharge_ticket,Recharge/Extend your ticket
buy_short_term_ticket,Buy short term ticket
buy_long_term_ticket,Buy long term ticket
use_prepaid,Use your prepaid ticket
check_status,Check ticket status
check_balance,Check prepaid ticket balance
recharge_time_ticket,Recharge/Extend your long term ticket
recharge_prepaid_ticket,Recharge your prepaid ticket
ticket_type,Ticket type
ticket_price,Price (PLN)
ticket_value,Value (PLN)
choose_ticket_type,Choose ticket type
20_min_reduced,Reduced-fare 20-minute ticket
20_min_standard,Standard 20-minute ticket
75_min_reduced,Reduced-fare 75-minute ticket
75_min_standard,Standard 75-minute ticket
90_min_reduced,Reduced-fare 90-minute ticket
90_min_standard,Standard 90-minute ticket
30_day_reduced,Reduced-fare 30-day ticket
30_day_standard,Standard 30-day ticket
90_day_reduced,Reduced-fare 90-day ticket
90_day_standard,Standard 90-day ticket
enter_id,Enter ticket id
days_left,Days left
will_expire,Ticket will expire on
ticket_expired,Ticket has expired on
prolong_long_term_ticket,Prolong long-term ticket
ticket_prolonged,Your ticket was prolonged
cannot_prolong,Too soon to prolong your ticket
ticket_bought,Ticket bought successfully
buy_prepaid,Buy prepaid ticket
choose_value,Choose ticket's value
